Ancient's Pledge,3 Socket Shields,Ral + Ort + Tal,+50% Enhanced Defense
,,,Cold Resist +43%
,,,Fire Resist +48%
,,,Lightning Resist +48%
,,,Poison Resist +48%
,,,10% Damage Goes To Mana
Black,3 Socket Clubs/Hammers/Maces,Thul + Io + Nef,+120% Enhanced Damage
,,,40% Chance Of Crushing Blow
,,,+200 To Attack Rating
,,,Adds 3-14 Cold Damage - Cold Duration 3 Seconds
,,,+10 To Vitality
,,,15% Increased Attack Speed
,,,Knockback
,,,Magic Damage Reduced By 2
,,,Level 4 Corpse Explosion (12 Charges)
Fury,3 Socket Melee Weapons,Jah + Gul + Eth,+209% Enhanced Damage
,,,40% Increased Attack Speed
,,,Prevent Monster Heal
,,,66% Chance Of Open Wounds
,,,33% Deadly Strike
,,,Ignore Target's Defense
,,,-25% Target Defense
,,,20% Bonus To Attack Rating
,,,6% Life Stolen Per Hit
,,,+5 To Frenzy (Barbarian Only)
Holy Thunder,4 Socket Scepters,Eth + Ral + Ort + Tal,+60% Enhanced Damage
,,,-25% Target Defense
,,,Adds 5-30 Fire Damage
,,,Adds 21-110 Lightning Damage
,,,+75 Poison Damage Over 5 Seconds
,,,+10 To Maximum Damage
,,,Lightning Resistance +60%
,,,+5 To Maximum Lightning Resistance
,,,+3 To Holy Shock (Paladin Only)
,,,Level 7 Chain Lightning (60 Charges)
Honor,5 Socket Melee Weapons,Amn + El + Ith + Tir + Sol,+160% Enhanced Damage
,,,+9 To Minimum Damage
,,,+9 To Maximum Damage
,,,25% Deadly Strike
,,,+250 To Attack Rating
,,,+1 to All Skills
,,,7% Life Stolen Per Hit
,,,Replenish Life +10
,,,+10 To Strength
,,,+1 To Light Radius
,,,+2 To Mana After Each Kill
King's Grace,3 Socket Swords/Scepters,Amn + Ral + Thul,+100% Enhanced Damage
,,,+100% Damage To Demons
,,,+50% Damage To Undead
,,,Adds 5-30 Fire Damage
,,,Adds 3-14 Cold Damage - 3 Second Duration
,,,+150 To Attack Rating
,,,+100 To Attack Rating Against Demons
,,,+100 To Attack Rating Against Undead
,,,7% Life Stolen Per Hit
Leaf,2 Socket Staves,Tir + Ral,Adds 5-30 Fire Damage
,,,+3 To Fire Skills
,,,+3 To Fire Bolt (Sorceress Only)
